"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"OR631909.1"	"AR20230720_MS3148148_10837_CHIK|2023-03-09"	"Chikungunya virus isolate AR20230720_MS3148148_10837_CHIK|2023-03-09 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Argentina"	"Homo sapiens"	2023-09-03
"OR631910.1"	"AR20230720_MS3148148_10836_CHIK|2023-03-24"	"Chikungunya virus isolate AR20230720_MS3148148_10836_CHIK|2023-03-24 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Argentina"	"Homo sapiens"	2023-03-24
"OR631911.1"	"AR20230909_11016_CHIKV|2023-03-03"	"Chikungunya virus isolate AR20230909_11016_CHIKV|2023-03-03 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Argentina"	"Homo sapiens"	2023-01-25
"OR631912.1"	"AR20230909_11017_CHIKV|2023-03-01"	"Chikungunya virus isolate AR20230909_11017_CHIKV|2023-03-01 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Argentina"	"Homo sapiens"	2023-01-15
"OR631913.1"	"AR20230909_11018_CHIKV|2023-02-27"	"Chikungunya virus isolate AR20230909_11018_CHIKV|2023-02-27 nonstructural polyprotein and structural polyprotein genes, partial cds"	11156	"Argentina"	"Homo sapiens"	2023-01-15
"OR631914.1"	"AR20230909_11019_CHIKV|2023-02-23"	"Chikungunya virus isolate AR20230909_11019_CHIKV|2023-02-23 nonstructural polyprotein and structural polyprotein genes, partial cds"	11162	"Argentina"	"Homo sapiens"	2023-01-22
"OR631915.1"	"AR20230909_11020_CHIKV|2023-02-20"	"Chikungunya virus isolate AR20230909_11020_CHIKV|2023-02-20 nonstructural polyprotein and structural polyprotein genes, partial cds"	11181	"Argentina"	"Homo sapiens"	2023-11-01
"OR360566.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_41 genomic sequence"	11687	"Uruguay"	"Homo sapiens"	2023-02-03
"OR360567.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_24 genomic sequence"	11630	"Uruguay"	"Homo sapiens"	2023-02-13
"OR360568.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_47 genomic sequence"	11205	"Uruguay"	"Homo sapiens"	2023-01-03
"OR360569.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH_23_21 genomic sequence"	11761	"Uruguay"	"Homo sapiens"	2023-05-02
"OR360570.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_87 genomic sequence"	11596	"Uruguay"	"Homo sapiens"	2023-03-20
"OR360571.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_103 genomic sequence"	11478	"Uruguay"	"Homo sapiens"	2023-10-04
"OR360572.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_149 genomic sequence"	11264	"Uruguay"	"Homo sapiens"	2023-04-14
"OR360573.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_104 genomic sequence"	11686	"Uruguay"	"Homo sapiens"	2023-10-04
"OR360574.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_100 genomic sequence"	11721	"Uruguay"	"Homo sapiens"	2023-06-04
"OR360575.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_150 genomic sequence"	11193	"Uruguay"	"Homo sapiens"	2023-04-15
"OR360576.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_159 genomic sequence"	11163	"Uruguay"	"Homo sapiens"	2023-04-20
"OR360577.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_174 genomic sequence"	11190	"Uruguay"	"Homo sapiens"	2023-04-20
"OR360578.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_188 genomic sequence"	11477	"Uruguay"	"Homo sapiens"	2023-04-23
"OR360579.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_227 genomic sequence"	11179	"Uruguay"	"Homo sapiens"	2023-04-25
"OR360580.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_229 genomic sequence"	11541	"Uruguay"	"Homo sapiens"	2023-04-25
"OR360581.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_230 genomic sequence"	11581	"Uruguay"	"Homo sapiens"	2023-04-26
"OR360582.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_233 genomic sequence"	11725	"Uruguay"	"Homo sapiens"	2023-04-30
"OR360583.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_235 genomic sequence"	11570	"Uruguay"	"Homo sapiens"	2023-04-28
"OR360584.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_242 genomic sequence"	11182	"Uruguay"	"Homo sapiens"	2023-04-29
"OR360585.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_250 genomic sequence"	11590	"Uruguay"	"Homo sapiens"	2023-01-05
"OR360586.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_249 genomic sequence"	11475	"Uruguay"	"Homo sapiens"	2023-04-29
"OR360587.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_294 genomic sequence"	11536	"Uruguay"	"Homo sapiens"	2023-03-05
"OR360588.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_292 genomic sequence"	11478	"Uruguay"	"Homo sapiens"	2023-04-05
"OR360589.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_295 genomic sequence"	11476	"Uruguay"	"Homo sapiens"	2023-04-05
"OR360590.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_296 genomic sequence"	11570	"Uruguay"	"Homo sapiens"	2023-04-05
"OR360591.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_301 genomic sequence"	11678	"Uruguay"	"Homo sapiens"	2023-05-05
"OR360592.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_460 genomic sequence"	11513	"Uruguay"	"Homo sapiens"	2023-05-19
"OR360593.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_329 genomic sequence"	11561	"Uruguay"	"Homo sapiens"	2023-07-05
"OR360594.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_519 genomic sequence"	11324	"Uruguay"	"Homo sapiens"	2023-05-25
"OR360595.1"		"UNVERIFIED: Chikungunya virus strain UY_ARBOI_CH23_503 genomic sequence"	11439	"Uruguay"	"Homo sapiens"	2023-05-24
"OR626603.1"		"Chikungunya virus strain HF-442, partial genome"	11282	"Saudi Arabia"	"Homo sapiens"	2021-01-01
"OR344786.1"	"NIV/60613/Tanzania/1952"	"Chikungunya virus isolate NIV/60613/Tanzania/1952, partial genome"	10958	"Tanzania"	"Homo sapiens"	1952-01-01
"OR167289.1"	"CHIKV/Brazil/DF-LACENGO-2126771707/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2126771707/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-06-01
"OR167290.1"	"CHIKV/Brazil/DF-LACENGO-2126043905/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2126043905/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-05-01
"OR167291.1"	"CHIKV/Brazil/DF-LACENGO-2130231801/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2130231801/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-01-13
"OR167292.1"	"CHIKV/Brazil/DF-LACENGO-2128932907/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2128932907/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-11-01
"OR167293.1"	"CHIKV/Brazil/DF-LACENGO-2142314701/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2142314701/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-09-02
"OR167294.1"	"CHIKV/Brazil/DF-LACENGO-2144378901/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2144378901/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-13
"OR167295.1"	"CHIKV/Brazil/DF-LACENGO-2145833003/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2145833003/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-02-16
"OR167296.1"	"CHIKV/Brazil/DF-LACENGO-2146229205/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2146229205/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-02-17
"OR167297.1"	"CHIKV/Brazil/DF-LACENGO-2146059202/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2146059202/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-16
"OR167298.1"	"CHIKV/Brazil/DF-LACENGO-2145850601/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2145850601/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-16
"OR167299.1"	"CHIKV/Brazil/DF-LACENGO-2147916908/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2147916908/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-23
"OR167300.1"	"CHIKV/Brazil/DF-LACENGO-2152650501/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2152650501/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-06-03
"OR167301.1"	"CHIKV/Brazil/DF-LACENGO-2152886307/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2152886307/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-06-03
"OR167302.1"	"CHIKV/Brazil/DF-LACENGO-2156329401/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2156329401/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11170	"Brazil"	"Homo sapiens"	2023-03-13
"OR167303.1"	"CHIKV/Brazil/DF-LACENGO-2154905104/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2154905104/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-09-03
"OR167304.1"	"CHIKV/Brazil/DF-LACENGO-2154907203/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2154907203/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-09-03
"OR167305.1"	"CHIKV/Brazil/DF-LACENGO-2158264306/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2158264306/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-03-16
"OR167306.1"	"CHIKV/Brazil/DF-LACENGO-2163388403/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2163388403/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11217	"Brazil"	"Homo sapiens"	2023-03-27
"OR167307.1"	"CHIKV/Brazil/DF-LACENGO-2164017301/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2164017301/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-03-28
"OR167308.1"	"CHIKV/Brazil/DF-LACENGO-2168479902/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2168479902/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-05-04
"OR167309.1"	"CHIKV/Brazil/MS-LACENGO-500731859/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500731859/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-03-16
"OR167311.1"	"CHIKV/Brazil/GO-LACENGO-520392190/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520392190/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-27
"OR167312.1"	"CHIKV/Brazil/GO-LACENGO-520392192/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520392192/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-27
"OR167313.1"	"CHIKV/Brazil/GO-LACENGO-520394675/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520394675/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-08-03
"OR167314.1"	"CHIKV/Brazil/GO-LACENGO-520391780/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520391780/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-24
"OR167315.1"	"CHIKV/Brazil/GO-LACENGO-520392011/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520392011/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-02-26
"OR167316.1"	"CHIKV/Brazil/GO-LACENGO-520393064/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520393064/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-01-03
"OR167317.1"	"CHIKV/Brazil/GO-LACENGO-520395591/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520395591/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-12-03
"OR167318.1"	"CHIKV/Brazil/MS-LACENGO-500737136/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500737136/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-03-24
"OR167319.1"	"CHIKV/Brazil/MS-LACENGO-500722741/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500722741/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-28
"OR167320.1"	"CHIKV/Brazil/GO-LACENGO-520397681/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520397681/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-03-17
"OR167321.1"	"CHIKV/Brazil/GO-LACENGO-520395976/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520395976/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-03-13
"OR167322.1"	"CHIKV/Brazil/GO-LACENGO-520400058/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520400058/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-03-28
"OR167323.1"	"CHIKV/Brazil/GO-LACENGO-520395095/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520395095/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-08-03
"OR167324.1"	"CHIKV/Brazil/GO-LACENGO-520391815/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520391815/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-02-23
"OR167325.1"	"CHIKV/Brazil/MS-LACENGO-500730249/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500730249/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-03-15
"OR167326.1"	"CHIKV/Brazil/MS-LACENGO-500731664/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500731664/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-03-16
"OR167327.1"	"CHIKV/Brazil/MS-LACENGO-500742132/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500742132/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-03-31
"OR167328.1"	"CHIKV/Brazil/MS-LACENGO-500740783/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500740783/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-03-29
"OR167329.1"	"CHIKV/Brazil/MS-LACENGO-500729119/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500729119/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11176	"Brazil"	"Homo sapiens"	2023-03-13
"OR167330.1"	"CHIKV/Brazil/DF-LACENGO-2171331402/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2171331402/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-11-04
"OR167331.1"	"CHIKV/Brazil/DF-LACENGO-2172775001/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2172775001/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11194	"Brazil"	"Homo sapiens"	2023-04-14
"OR167332.1"	"CHIKV/Brazil/DF-LACENGO-2176317606/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2176317606/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11182	"Brazil"	"Homo sapiens"	2023-04-21
"OR167333.1"	"CHIKV/Brazil/DF-LACENGO-2177289005/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2177289005/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-04-24
"OR167335.1"	"CHIKV/Brazil/DF-LACENGO-2179133401/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2179133401/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-04-27
"OR167336.1"	"CHIKV/Brazil/DF-LACENGO-2179008303/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2179008303/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-04-27
"OR167338.1"	"CHIKV/Brazil/DF-LACENGO-2184353807/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2184353807/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11187	"Brazil"	"Homo sapiens"	2023-09-05
"OR167339.1"	"CHIKV/Brazil/DF-LACENGO-2184376608/2023"	"Chikungunya virus isolate CHIKV/Brazil/DF-LACENGO-2184376608/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-09-05
"OR167340.1"	"CHIKV/Brazil/GO-LACENGO-520405437/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520405437/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-04-17
"OR167341.1"	"CHIKV/Brazil/GO-LACENGO-520413744/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520413744/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-05-15
"OR167342.1"	"CHIKV/Brazil/GO-LACENGO-520413355/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520413355/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-05-13
"OR167343.1"	"CHIKV/Brazil/GO-LACENGO-520400235/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520400235/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-03-28
"OR167345.1"	"CHIKV/Brazil/MS-LACENGO-500762286/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500762286/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-01-01
"OR167346.1"	"CHIKV/Brazil/GO-LACENGO-520413145/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520413145/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-11-05
"OR167347.1"	"CHIKV/Brazil/GO-LACENGO-520416673/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520416673/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-05-23
"OR167348.1"	"CHIKV/Brazil/GO-LACENGO-520406915/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520406915/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-04-20
"OR167349.1"	"CHIKV/Brazil/GO-LACENGO-520402387/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520402387/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-04-04
"OR167350.1"	"CHIKV/Brazil/GO-LACENGO-520407295/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520407295/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-04-23
"OR167351.1"	"CHIKV/Brazil/GO-LACENGO-520416345/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520416345/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-05-23
"OR167352.1"	"CHIKV/Brazil/GO-LACENGO-520418431/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520418431/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-05-29
"OR167353.1"	"CHIKV/Brazil/GO-LACENGO-520418824/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520418824/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-05-25
"OR167354.1"	"CHIKV/Brazil/GO-LACENGO-520406559/2023"	"Chikungunya virus isolate CHIKV/Brazil/GO-LACENGO-520406559/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11178	"Brazil"	"Homo sapiens"	2023-04-19
"OR167355.1"	"CHIKV/Brazil/MS-LACENGO-500753583/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500753583/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11179	"Brazil"	"Homo sapiens"	2023-01-01
"OR167356.1"	"CHIKV/Brazil/MS-LACENGO-500762397/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500762397/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11198	"Brazil"	"Homo sapiens"	2023-01-01
"OR167357.1"	"CHIKV/Brazil/MS-LACENGO-500762561/2023"	"Chikungunya virus isolate CHIKV/Brazil/MS-LACENGO-500762561/2023 nonstructural polyprotein and structural polyprotein genes, partial cds"	11177	"Brazil"	"Homo sapiens"	2023-01-01
"OR037305.2"	"17XN40163"	"Chikungunya virus isolate 17XN40163, partial genome"	11756	"China"	"Homo sapiens"	2017-01-01
"OR037306.2"	"18XN17157"	"Chikungunya virus isolate 18XN17157, complete genome"	11730	"China"	"Homo sapiens"	2018-01-01
"OR037307.1"	"19XN14662"	"Chikungunya virus isolate 19XN14662, complete genome"	11814	"China"	"Homo sapiens"	2019-01-01
"OR037308.1"	"19XN50776"	"Chikungunya virus isolate 19XN50776, complete genome"	11816	"China"	"Homo sapiens"	2019-01-01
"OR037309.1"	"19XN50799"	"Chikungunya virus isolate 19XN50799, complete genome"	11814	"China"	"Homo sapiens"	2019-01-01
"OQ865295.1"	"LACENBA-292662730"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292662730 nonstructural polyprotein-like gene, partial sequence"	11177	"Brazil"	"Homo sapiens"	2022-10-24
"OQ865296.1"	"LACENBA-292825694"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292825694 nonstructural polyprotein-like gene, partial sequence"	11176	"Brazil"	"Homo sapiens"	2023-01-31
"OQ865297.1"	"LACENBA-292723665"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292723665 nonstructural polyprotein-like gene, partial sequence"	11166	"Brazil"	"Homo sapiens"	2022-11-18
"OQ865298.1"	"LACENBA-292823917"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292823917 nonstructural polyprotein-like gene, partial sequence"	11173	"Brazil"	"Homo sapiens"	2023-01-24
"OQ865299.1"	"LACENBA-292838190"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292838190 nonstructural polyprotein-like gene, partial sequence"	11165	"Brazil"	"Homo sapiens"	2023-07-02
"OQ865300.1"	"LACENBA-292879257"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292879257 nonstructural polyprotein-like gene, partial sequence"	11175	"Brazil"	"Homo sapiens"	2023-08-03
"OQ865301.1"	"LACENBA-292828671"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292828671 nonstructural polyprotein-like gene, partial sequence"	11163	"Brazil"	"Homo sapiens"	2023-02-02
"OQ865303.1"	"LACENBA-292901572"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292901572 nonstructural polyprotein-like gene, partial sequence"	11164	"Brazil"	"Homo sapiens"	2023-03-22
"OQ865304.1"	"LACENBA-292682763"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292682763 nonstructural polyprotein-like gene, partial sequence"	11166	"Brazil"	"Homo sapiens"	2022-10-24
"OQ865305.1"	"LACENBA-292746651"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292746651 nonstructural polyprotein-like gene, partial sequence"	11170	"Brazil"	"Homo sapiens"	2022-08-11
"OQ865306.1"	"LACENBA-292829619"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292829619 nonstructural polyprotein-like gene, partial sequence"	11178	"Brazil"	"Homo sapiens"	2023-01-30
"OQ865307.1"	"LACENBA-292851994"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292851994 nonstructural polyprotein-like gene, partial sequence"	11175	"Brazil"	"Homo sapiens"	2023-02-15
"OQ865308.1"	"LACENBA-292889791"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292889791 nonstructural polyprotein-like gene, partial sequence"	11164	"Brazil"	"Homo sapiens"	2023-03-15
"OQ865309.1"	"LACENBA-292837694"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292837694 nonstructural polyprotein-like gene, partial sequence"	11166	"Brazil"	"Homo sapiens"	2023-08-02
"OQ865310.1"	"LACENBA-292869444"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292869444 nonstructural polyprotein-like gene, partial sequence"	11169	"Brazil"	"Homo sapiens"	2023-01-03
"OQ865311.1"	"LACENBA-292836001"	"UNVERIFIED: Chikungunya virus isolate LACENBA-292836001 nonstructural polyprotein-like gene, partial sequence"	11174	"Brazil"	"Homo sapiens"	2023-03-02
